COMMENT,arora_pr136_problem_size_136_lru_2021_04_03__01_05_52_k_3__d_2_cache_sizes_2_to_64298
SORT_BY,136
LABEL,lru cache sizes=2 to 64298
64299,64298
63299,64392
62299,64402
61299,64510
60299,64781
59299,64814
58299,65207
57299,65514
56299,65568
55299,65574
54299,65576
53299,65577
52299,65582
51299,65590
50299,65654
49299,65774
48299,65816
47299,65890
46299,66230
45299,66488
44299,66938
43299,67453
42299,67735
41299,68121
40299,68681
39299,69794
38299,70896
37299,71330
36299,71330
35299,71887
34299,71869
33299,72299
32299,72360
31299,72705
30299,73499
29299,75088
28299,76053
27299,76909
26299,77124
25299,77408
24299,77863
23299,78457
22299,79267
21299,79623
20299,80100
19299,80198
18299,80517
17299,90240
16299,93355
15299,116681
14299,120100
13299,124974
12299,159762
11299,166728
10299,198208
9299,364884
8299,701902
7299,783800
6299,824822
5299,1262788
4299,1293425
3299,1438064
2299,1963008
1299,5308861
299,17686919
