COMMENT,arora_u2319_problem_size_2319_nru_d_drunken_relative_2021_04_03__03_01_13_k_3__d_2_cache_sizes_2_to_10731
SORT_BY,2319
LABEL,nru_d_drunken_relative cache sizes=2 to 10731 k=3 d=2
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
8192,19711
8192,19564
8192,19521
8192,19521
8192,19805
8192,19805
8192,19805
8192,19805
8192,19805
8192,19790
8192,19125
8192,19125
8192,19125
8192,19123
8192,19116
8192,19116
8192,19104
8192,19087
8192,19087
8192,19087
8192,18943
8192,18943
8192,18943
8192,18943
8192,18530
8192,18530
8192,18530
8192,18530
8192,18530
8192,18530
8192,18530
8192,18530
8192,17010
8192,17010
8192,17010
8192,17010
4096,28737
4096,26669
4096,26669
4096,28240
4096,27438
4096,28328
4096,27150
4096,25677
4096,27048
4096,25352
4096,25352
4096,21146
4096,21146
4096,21146
4096,21146
4096,21146
4096,21044
2048,39668
2048,39421
2048,38730
2048,38624
2048,38663
2048,38143
2048,35820
2048,35820
2048,36182
1024,47677
1024,47600
1024,49297
1024,47217
512,66611
512,65864
512,60884
256,87821
64,132517
