COMMENT,nru relative 1pt pr136
SORT_BY,0
LABEL,FFRU Relative
318.171429,10126256
1334.125714,3456679
2340.571429,1323999
3299.253156,1341638
4681.142857,661299
5336.502857,738536
6313.691429,753901
7723.885714,125520
9362.285714,127432
9362.285714,127432
10673.005714,130000
11410.285714,129551
12361.142857,129804
13305.084675,128955
15447.771429,73162
15447.771429,73162
18724.571429,74123
18724.571429,74123
18724.571429,74123
20362.971429,74229
20362.971429,74229
21346.011429,74214
22469.485714,74203
23312.091429,74216
24341.942857,74209
25356.190476,74606
26319.725714,74606
27303.305846,74594
30895.542857,65045
30895.542857,65045
30895.542857,65045
37449.142857,65045
37449.142857,65045
37449.142857,65045
37449.142857,65045
37449.142857,65045
37449.142857,65045
37449.142857,65045
40725.942857,65045
40725.942857,65045
40725.942857,65045
42692.022857,65045
42692.022857,65045
44002.742857,65045
44938.971429,65045
45641.142857,65045
46624.182857,65045
47531.604396,65045
48371.809524,65045
49444.571429,64929
50509.531429,64929
51361.499429,64929
52335.177143,64929
53300.461084,64929
54310.068706,64942
55309.98129,64913
56301.416252,64902
61791.085714,64298
61791.085714,64298
61791.085714,64298
61791.085714,64298
61791.085714,64298
74898.285714,64298
74898.285714,64298
74898.285714,64298
