COMMENT,1pt per border lru pr136
SORT_BY,0
LABEL,LRU
299,17686919
1299,5308861
2299,1963008
3299,1438064
4299,1293425
5299,1262788
6299,824822
7299,783800
8299,701902
9299,364884
10299,198208
11299,166728
12299,159762
13299,124974
14299,120100
15299,116681
16299,93355
17299,90240
18299,80517
19299,80198
20299,80100
21299,79623
22299,79267
23299,78457
24299,77863
25299,77408
26299,77124
27299,76909
28299,76053
29299,75088
30299,73499
31299,72705
32299,72360
33299,72299
34299,71869
35299,71887
36299,71330
37299,71330
38299,70896
39299,69794
40299,68681
41299,68121
42299,67735
43299,67453
44299,66938
45299,66488
46299,66230
47299,65890
48299,65816
49299,65774
50299,65654
51299,65590
52299,65582
53299,65577
54299,65576
55299,65574
56299,65568
57299,65514
58299,65207
59299,64814
60299,64781
61299,64510
62299,64402
63299,64392
64299,64298
