COMMENT,u2319 quicksolve nru absolute
SORT_BY,0
LABEL,FFRU Absolute
36.571429,131995
146.285714,85365
241.371429,60185
333.531429,62042
431.050549,62939
585.142857,45978
636.342857,46398
734.088312,46629
831.119577,46918
965.485714,33574
1170.285714,35777
1170.285714,35777
1272.685714,35767
1334.125714,36066
1443.352381,36442
1534.049524,36318
1633.236975,36407
1731.291429,35640
1930.971429,23114
2340.571429,22890
2340.571429,22890
2340.571429,22890
2340.571429,22890
2340.571429,22890
2545.371429,23447
2545.371429,23447
2668.251429,23732
2750.171429,24075
2852.571429,23640
2936.353247,23359
3036.891429,23454
3142.833083,23257
3232.914286,23257
3331.278818,23257
3432.091826,23244
3861.942857,13913
3861.942857,13913
3861.942857,13913
3861.942857,13913
4681.142857,14556
4681.142857,14556
4681.142857,14556
4681.142857,14556
4681.142857,14556
4681.142857,14556
4681.142857,14556
4681.142857,14556
5090.742857,14749
5090.742857,14749
5090.742857,14749
5090.742857,14749
5336.502857,14955
5336.502857,14955
5336.502857,14955
5500.342857,14937
5617.371429,14943
5705.142857,14943
5773.409524,14944
5872.706494,14945
5941.450549,14945
6046.47619,14945
6136.198095,14950
6254.526984,14950
6339.047619,14950
6436.571429,14950
6532.947899,14950
6633.179429,14950
6732.961684,14847
6832.128,14847
6931.111521,14870
7031.556891,14760
7723.885714,10731
7723.885714,10731
7723.885714,10731
7723.885714,10731
7723.885714,10731
7723.885714,10731
9362.285714,10731
9362.285714,10731
9362.285714,10731
9362.285714,10731
9362.285714,10731
9362.285714,10731
9362.285714,10731
9362.285714,10731
9362.285714,10731
9362.285714,10731
9362.285714,10731
9362.285714,10731
9362.285714,10731
9362.285714,10731
9362.285714,10731
9362.285714,10731
9362.285714,10731
10181.485714,10731
10181.485714,10731
10181.485714,10731
10181.485714,10731
10181.485714,10731
10181.485714,10731
10181.485714,10731
10181.485714,10731
10673.005714,10731
10673.005714,10731
10673.005714,10731
10673.005714,10731
10673.005714,10731
11000.685714,10731
