COMMENT,u2319 quicksolve nru relative
SORT_BY,0
LABEL,FFRU Relative
36.571429,132517
146.285714,87821
241.371429,60884
333.531429,65864
431.050549,66611
585.142857,47217
636.342857,49297
734.088312,47600
831.119577,47677
965.485714,36182
1170.285714,35820
1170.285714,35820
1272.685714,38143
1334.125714,38663
1443.352381,38624
1534.049524,38730
1633.236975,39421
1731.291429,39668
1930.971429,21044
2340.571429,21146
2340.571429,21146
2340.571429,21146
2340.571429,21146
2340.571429,21146
2545.371429,25352
2545.371429,25352
2668.251429,27048
2750.171429,25677
2852.571429,27150
2936.353247,28328
3036.891429,27438
3142.833083,28240
3232.914286,26669
3331.278818,26669
3432.091826,28737
3861.942857,17010
3861.942857,17010
3861.942857,17010
3861.942857,17010
4681.142857,18530
4681.142857,18530
4681.142857,18530
4681.142857,18530
4681.142857,18530
4681.142857,18530
4681.142857,18530
4681.142857,18530
5090.742857,18943
5090.742857,18943
5090.742857,18943
5090.742857,18943
5336.502857,19087
5336.502857,19087
5336.502857,19087
5500.342857,19104
5617.371429,19116
5705.142857,19116
5773.409524,19123
5872.706494,19125
5941.450549,19125
6046.47619,19125
6136.198095,19790
6254.526984,19805
6339.047619,19805
6436.571429,19805
6532.947899,19805
6633.179429,19805
6732.961684,19521
6832.128,19521
6931.111521,19564
7031.556891,19711
7723.885714,10731
7723.885714,10731
7723.885714,10731
7723.885714,10731
7723.885714,10731
7723.885714,10731
9362.285714,10731
9362.285714,10731
9362.285714,10731
9362.285714,10731
9362.285714,10731
9362.285714,10731
9362.285714,10731
9362.285714,10731
9362.285714,10731
9362.285714,10731
9362.285714,10731
9362.285714,10731
9362.285714,10731
9362.285714,10731
9362.285714,10731
9362.285714,10731
9362.285714,10731
10181.485714,10731
10181.485714,10731
10181.485714,10731
10181.485714,10731
10181.485714,10731
10181.485714,10731
10181.485714,10731
10181.485714,10731
10673.005714,10731
10673.005714,10731
10673.005714,10731
10673.005714,10731
10673.005714,10731
11000.685714,10731
